hash,num_files_changed
6875bf374ccbf8147ba5cc02a79f1267bf1073e9,1
200425cba0bfde15f355c8be8fe42e4c93bd3f57,2
26790b693c1140dc5fb08accc0923ca46234f922,1
00a92c94b0130796c23ea1ea5733f88ae4a96ded,2
8030d576eda624699594c0464ba5ef514c7c231f,3
4eb8a871930ef152e4fa73fc1782e2ed22348c85,2
d2814c7aa756e7026114455eb0b38cb5812c5dd0,1
6f71a141501403fd55a4fd148a63010c3200b8c3,0
Marlin/src/pins/stm32f4/pins_FYSETC_S6.h,2
106795069740bede91cb5fbc20cd506a48776653,2
7b7add3843f7f74739244dc4425a0368afca4bd1,1
05e67a92624b148b1490e272e25661d7c7747890,2
c4ef2d63e1c4651f652873b16e9e47339b66d851,5
2a137d67444e5de32589720930ebeba9db3b47cc,0
Marlin/src/lcd/menu/menu_probe_level.cpp,1
c0becd6ce1bb3729663811b174ca93f901601238,3
d5dfd18c24d8d79e55893cf90b1cb5c28bc369ed,5
dcc10565f8865d6400008a280fbcdff4ac8ae074,1
4c388d711880d64b33be5d0d8a0366f4cf5fe498,4
94ca5487ab18647f1078847e9e1b460bb894a412,2
a23212bd95e268fe29682e53cd5b7719811c5519,1
a748eaade7328e3ee2dbb59107b3f7cf46d19ad3,2
ba88365364f33db0f9b9dccdc8fe524fdce5afc6,2
8d9db0f8999706b913ca48323028b9f708e6b2c7,4
23bc810e6e38d3baa19455713b0c340784555e01,2
7ad4de2c0812d5b01bd6beccbe40536e526d3888,2
d21e1d4dc8611afeb4e7a6e5325f49e2b8edb49d,2
8b7cfa0429231f945eb58398e0ca98de3a74bc72,1
906dcc753685dcca7252eb9a8a2f7fb2b99ac264,2
061e02638452fe2353eb26e6d7799a81ab45e597,1
5d591fd91d95562bfe7e2886de34a7e6e3e28e11,1
854da5fd9ea12648f982062bca2363244b7ea16c,2
7e45d56e66383c4ff5d2c0af4e1a75632f0510c0,2
71ce7803e7a910d4512cb0b2dc132c44e4ca2cba,7
c5bf705717ccb8f0f716c89712d1016856e8d3f2,2
e82b4e98a492343394ece560f14841b771ea7178,1
c271a89a4fead7bdca111a002980ce4732f8d95b,2
ea993a657f1c42df16c2bc03f30c7c9224647b49,1
5813488412aa3731d24177a037653087aeeb72ef,2
a365163ff0744f2f74c3a3b4137d98237f4bb85d,1
4668b2715802fcb75f640b07e1783c41f2b0a91d,1
e733e50207765d5c9861db31af6c774b9cd6f2b5,2
5549d07da34a4ba597aab6064a79457618992c75,1
257ffe98b19bc2e54187ec5c612086e41f1db35f,5
2ed5937dafbc61133f81369f1311cb656cb8dffc,2
00c28eb9e3b4a4a996e7ad7fd391cdd07710d65f,2
63a7d42f30112027216ebd75010e3b5689182f2d,0
Marlin/src/pins/esp32/pins_MKS_TINYBEE.h,0
94bd6d52e9d7b04d99e3754ca004f4bd3acad29f,1
9cbab467b491dbbaf0ee78be126431abf6925f81,1
db7828504e70b301ab73524b95e44adc900d9bc9,2
4797f254284dd72c7e1748fdaa70696b22194a52,7
6bd541d730ae3b5bf7dcb674b2dc92c69e0be428,2
3591eb5d5da00d6a0ba55cad9f910782fda91df4,4
22182d9a983a57c48bcf34f71f4b71095c6151cd,11
1f61b743a6323886053b1cc32910bd925efc58dc,1
f0712744935b3af905a9fa3ddfcb1a5c64a07144,2
2a4a89d8cb4b1156b75d0c66db940b18b35b07dd,1
a9f44e37a94e448a58b0e41b0c2d540d2bfc14b2,2
af05b6e482493148363454e36be721f5e07cb42e,2
2b39e51a4009b8d1395d79cbd7c10dfb28b041d7,2
37f490fdd0b9c9afb6491d7bc0d6aa3d37764b87,2
c57f715d003ea2aac8ae13acf237dac9b7bff91f,7
Marlin/src/pins/lpc1768/pins_MKS_SBASE.h,4
Marlin/src/pins/stm32f1/pins_MKS_ROBIN.h,0
580c99ece28d99956a40848df1d0ed48e351b534,2
eaab2dea925f0da5b38fcec1c58e9b8806efbaf8,15
a7bd35b993858a7aef58652baab0735ba4812c3e,19
8d864d797a500865663cdf418591bdbb7406a4cc,1
61649aa3c068f11b00da96458d0819943baa15b1,11
220cd5a640a2257de090d26567f7477f9ffa918c,2
72f2657a0e507675098280ece8faf8fccc82d160,5
fb61a50e2101c88f58b0d743528855d3b7c75901,2
21257f7e21c61ed8f6cf5211034bfcb10f840946,3
8df61893c37b3b542b96c36207078e554f5d06a5,1
Marlin/src/lcd/menu/menu_probe_level.cpp,1
095f060c24bed5aef1c640f8463218962f5bb548,2
f5a5d7a62083bab94af8a2089a54644e65b35ad5,1
fabc2002ed385e6860d88a0fbc80b261aca1b760,2
3f264942cbe6dae3f2896fb1cba1d04fc6b326bf,1
3810986dba7c9d685b3eb809482e891f5a9f5b20,2
5951e646d0b90b7ffe6ec0b71473c98b72cb7389,1
d4c34205b5de9be56bc97d5a88de6613916c9d30,2
c6bbed7cdb8f55ad8ce6952e2408bc5fe9eac7ae,6
a531c01889c408fc40bdf1e2e5867355bfacd49f,1
0f0e239264937d3e25b0b44e557e8064ed820c89,1
fa55caed1f65973e0e8a26e0111d0cbf2625b861,6
bf98c16a00f2f8aa6767f675de2b485e2b8a05be,2
72603b627acdeae36c75932319f60e0ac3727f7e,2
284d07d4d8b93458f29fb1c95e319ac7c1f79bbd,1
09a290cc612f2aa013ee4ef4fe912ea1bbc4281c,2
25b9bb35ab8f5dd3d584f42f8f3eeafc225283fc,1
9e96b8985677ae10d9b6185fdd84f887b2fba900,2
92efc33acee6206fa3fb90ce06de21ec4eff5adb,1
81bad7b124b26ef8ac5bb3c46437ba461fe00497,2
1df97254cb1a6f6e3cd7fdbfad8f925452c80bb3,1
aa80cb0620f4c2393de76f8d78b2465e1e0e837a,1
4b6109f4e79504d3a562136644c53a9c3fe93d9d,3
70c30607697b260552b1fd8c99dea5220be86a33,1
472f1ece2aa0a654e37a35e4f3a6443a7d6dc611,1
f6c58c59c3fd2b3b317bc75b9216473ab560c0c7,1
e6099fd83f47415cf001080f4493d13a93121dcb,3
13af4e1ef15958cbe416c157e930947fe5f05579,2
4869a3ffd97a10f6122cbf1aa4920d6881b62bea,1
c2d0008d2a991b8d9a20fb8ee053e20561878062,4
68ae15e2df36dcd3d9bccaa3a86441c1a391b67b,1
91e4811534cf6fbf3f956e934f1383a2db5d7157,1
Marlin/src/pins/gd32f1/pins_SOVOL_V131.h,21
Marlin/src/pins/stm32f1/pins_MKS_ROBIN.h,13
Marlin/src/pins/stm32f4/pins_FLYF407ZG.h,29
d2fab914cd3430504c03855e9842bbb80f68a4c0,2
846ec6c66b3b581d017492ea6fbb5c5e6b9a787f,3
d876b5ee3cf62f858c5d7c9a144c3b637a478ccf,11
Marlin/src/HAL/RP2040/arduino_extras.cpp,33
98ae2ad60acdcd316c78aec4840c524bf3ea265b,1
a261a5b9a679d6a8fe6ee0bcbaa3e5af602b411a,2
a7fcb495e4171c6511d86fca2a9eb721b0870ebf,1
ea554a06094c63bb4685282af4660e395c1eff7c,1
08717d3f60d9eacc7e74b8d60ae38d8f4c823676,26
7b104a108f8b0a45ec78a10d9894bba3912896be,2
9133a2f0f5c9db9f98fd781748352e7e0f9da0d3,2
dff2104c960f232fcef2a8e5f9e0980abbe96a55,2
163ca2783f49a92dedc9f8132b400bab9081166c,2
16f28e747bf679ae564c23a7af5c062c5cae7c3a,6
3b7aadb3597f8f67d0f0c13f59b9444e537870e1,5
Marlin/src/feature/mmu3/mmu3_fsensor.cpp,0
Marlin/src/feature/mmu3/mmu3_marlin1.cpp,7
Marlin/src/gcode/feature/cancel/M486.cpp,4
9e8d561549e06211c62cbbea65a2c00d2f10bf41,2
b4a3e29fb629886f121332dbbce46dd65d8e8ef2,35
d2bda128abb4b08738d8ead651affc93e2821775,2
f8bbabfa3131f6c7abb23d4eb5bdb4f9779393b9,1
fc769ef023fa243de74bb32d9d0bef5ce0c866c3,16
9192ae52139880889bb2d3c653cbe6f83af10807,5
4c0e6123767e70d37c6aa9dfca50efe3418d8d1c,1
b9f7d721ed9e03ca8216c90016d6cc7082e13163,1
b43d6ed5d338795aa67bd2f6a3fcd234dcf0bc0a,2
e824e16a416fed9267d96ac0de1dd2e61d23f033,2
0b72b8d819604aca9107a14b4e1d5e89f108a905,1
37eb8bb1d5602dda007483efb36cbd4ab4398574,1
d2ff2adabd9fe54a601e628bc34fe1c03fcf80d3,5
.github/workflows/ci-validate-boards.yml,5
f31cc84c2b29d0b4fe22bb93290471bc15120b85,2
8beec5eaa5776739613f9e2c8810534dc395341e,2
4e41ff32e1e974f9cc3d615a670f7f96a57cc211,7
cf137cb73a074c59bd2060e70ff95759ae602929,2
d5cc11d9963bfdc93b1068665ae9668bd01ce74a,1
d62a631467994d2afa8914fa5c13c5c1c8810e98,2
d6c3f45bda98cd1da73bbe06c2ae9eab054deea8,8
Marlin/src/lcd/language/language_fr_na.h,4
Marlin/src/lcd/language/language_pt_br.h,7
Marlin/src/lcd/language/language_zh_CN.h,0
Marlin/src/lcd/language/language_zh_TW.h,2
81760d6818104e70dba41cb24e5fe52f12a54962,3
282f90c1b3a0d3e6d1dad0e0601a3ff5fa226b85,5
5de9fc556fa35233ffc9ee96727f7240c3e23eab,8
Marlin/src/lcd/language/language_el_gr.h,4
Marlin/src/lcd/language/language_fr_na.h,7
Marlin/src/lcd/language/language_pt_br.h,7
Marlin/src/lcd/language/language_zh_CN.h,0
Marlin/src/lcd/language/language_zh_TW.h,0
Marlin/src/lcd/menu/menu_probe_level.cpp,3
3482e9632c6916922c7069a61b7d63d5de9b4268,19
a6493e0cc8028a827f698738add91fd03e6e2de4,2
a08a7b3459613ddcedfcc463db368f284d9fca9b,1
bd4936330bdb74ac6b7c64140379265cde233835,0
Marlin/src/lcd/language/language_pt_br.h,1
4bb33a0cb98fa0ab6fe662689fcb25d4e47532fb,2
83e38b3625af5ab00435cdab64ed930902609e12,2
5b7bb3ea641ae0be4f248da7464777c56baff50d,1
f0b115a9993c0bf6eace56ad2b8c2d7944dfdd8a,2
cebed347f5eff3a708bf228e845d972bf1347c4c,1
a66b22c4f16867c345a1256a808437d508485e72,7
fadaa2db09e8346428eafe4178ea8fd83ce55f66,2
f8954ca79b8303b2c53cbbb73ad8828eeede3562,1
4a3f69ad6d3829c4719b40b8a1d7a0bce3286c75,1
4bf13bea42615de60a2c2905f50f5af1452bd0f4,6
3a6bd6920e445a334a95704453ee310bed0c367a,3
Marlin/src/pins/stm32h7/pins_BTT_SKR_3.h,3
70ef7978b418691904b1fe70f6c1009295eb5f7f,2
37bc552f3bf038d1238dd4f65f2c0dde7fe724c8,6
e310f2027920dda5ba82b44549a0176912c7a687,2
4708635f4f38122f8c7e0a03433b682f6fb87b77,1
f5d5b0a8818f5deb03cf71d684757bae9eb1ddd1,14
30f5dd339d291dcf7685eda7332f7321c9d2a5c8,2
556d716919ecbd63974be4ff93833fe69704812f,5
Marlin/src/lcd/language/language_fr_na.h,4
Marlin/src/lcd/language/language_pt_br.h,6
Marlin/src/lcd/language/language_zh_CN.h,0
Marlin/src/lcd/language/language_zh_TW.h,2
76afd5afc10af29258c77c7751350d9b89c82c95,2
5c3bc2194a332751eed5a7822b51e79fea5bafcd,3
763cd7c5f2b5e74280b6f89af8294138027514a2,21
Marlin/src/feature/mmu3/mmu3_fsensor.cpp,4
Marlin/src/feature/mmu3/mmu3_marlin1.cpp,10
Marlin/src/feature/mmu3/mmu3_reporting.h,20
11046b23a92cbe3401dfbd370c295df0a17d923d,3
36b72926f3b7bf534691ef651f8e40b043dea41f,6
b35e16b1d87160b3cfc70f14283515dce8e8dc64,22
buildroot/tests/STM32F103RC_fysetc_maple,19
767c87810bee492c6cc5a2611b8f08c2a295926f,3
52b6c45451c7ffe1c8581d5defcb34e7c0e21981,2
df5d08aec0b90aa1a77dfede9174fe254d5ebccf,1
8c61606691a52298236811b6cbacc965d8c1f9dc,2
e70bd3c785418171082b9c46c0c598bc135ed865,3
83cc9832767a1cdd9e079820f535165528840582,2
bbb8275d66b0e5dfab8a37a84abd33a18d576f4e,23
2afc2f268aaa2db98c9666bc47b573abfd6742c1,1
aa44542f766b0a1ff720f2599ea3d043babe39b3,32
248648708f5a87db77ded91da0714844410647f1,2
e2c0150fa82a9d3e730a28236a4b83a3a408e12b,1
